tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection
2018,8650,Brazil vs Belgium,2018-07-06,QF,Brazil,Belgium,1,2,L,459,114,14,0.6264,0.1558,24,33,133,21,1,2,6,0.0719,7.19,24.84,4.03
2018,8650,Brazil vs Belgium,2018-07-06,QF,Belgium,Brazil,2,1,W,310,93,13,0.5962,0.1274,16,24,99,4,0,0,0,0.0774,7.74,30.0,3.33
2018,7584,Belgium vs Japan,2018-07-02,R16,Belgium,Japan,3,2,W,524,110,13,0.7051,0.1412,28,43,143,21,2,0,14,0.0821,8.21,20.99,4.76
2018,7584,Belgium vs Japan,2018-07-02,R16,Japan,Belgium,2,3,L,363,99,13,0.6346,0.1322,13,23,99,5,2,1,2,0.0634,6.34,27.27,3.67
2018,7554,England vs Panama,2018-06-24,group,England,Panama,6,1,W,552,116,14,0.6374,0.1821,34,42,113,3,2,5,1,0.0761,7.61,21.01,4.76
2018,7554,England vs Panama,2018-06-24,group,Panama,England,1,6,L,349,108,14,0.5934,0.1519,17,27,103,6,1,0,2,0.0774,7.74,30.95,3.23
2018,7539,Poland vs Senegal,2018-06-19,group,Poland,Senegal,1,2,L,482,102,14,0.5604,0.1784,22,32,143,5,1,2,3,0.0664,6.64,21.16,4.73
2018,7539,Poland vs Senegal,2018-06-19,group,Senegal,Poland,2,1,W,286,97,14,0.533,0.1521,12,28,81,4,0,0,3,0.0979,9.79,33.92,2.95
2018,7550,Serbia vs Switzerland,2018-06-22,group,Serbia,Switzerland,1,2,L,263,94,13,0.6026,0.116,10,35,95,10,1,0,7,0.1331,13.31,35.74,2.8
2018,7550,Serbia vs Switzerland,2018-06-22,group,Switzerland,Serbia,2,1,W,467,102,13,0.6538,0.1595,16,31,129,10,1,0,3,0.0664,6.64,21.84,4.58
2018,7538,Sweden vs South Korea,2018-06-18,group,Sweden,South Korea,1,0,W,371,93,14,0.511,0.155,18,33,100,11,0,0,3,0.0889,8.89,25.07,3.99
2018,7538,Sweden vs South Korea,2018-06-18,group,South Korea,Sweden,0,1,L,289,111,14,0.6099,0.1263,11,23,79,5,0,0,4,0.0796,7.96,38.41,2.6
