tournament_year,team,num_group_matches,stage_reached,reached_qf,avg_completed_passes,avg_unique_passing_pairs,avg_network_density,avg_top_player_reliance,avg_final_third_entries,avg_final_third_entries_per_100_passes,avg_connections_per_100_passes,avg_passes_per_connection,avg_final_third_entry_share,std_completed_passes,std_network_density,std_passes_per_connection,std_final_third_entries_per_100_passes
2022,Argentina,3,Final,1,614.667,134.333,0.615,0.158,45.667,7.07,22.593,4.513,0.071,185.971,0.084,0.785,1.785
2022,Australia,3,Round of 16,0,295.667,103.333,0.449,0.131,24.0,8.653,36.263,2.823,0.087,89.489,0.027,0.544,2.89
2022,Belgium,3,Group Stage,0,532.667,127.667,0.556,0.154,29.0,5.393,24.233,4.18,0.054,77.022,0.035,0.599,1.442
2022,Brazil,3,Quarter-final,1,519.333,132.667,0.553,0.147,41.667,7.997,25.59,3.927,0.08,17.214,0.028,0.333,1.603
2022,Cameroon,3,Group Stage,0,323.333,109.0,0.518,0.146,28.667,9.0,34.987,2.947,0.09,101.633,0.051,0.639,3.036
2022,Canada,3,Group Stage,0,439.333,138.0,0.575,0.148,42.333,9.68,31.507,3.183,0.097,39.552,0.034,0.219,0.757
2022,Costa Rica,3,Group Stage,0,276.667,104.667,0.48,0.166,12.0,4.73,42.187,2.673,0.047,101.199,0.052,1.103,1.6
2022,Croatia,3,3rd Place,1,500.667,114.0,0.548,0.151,31.667,6.463,23.043,4.383,0.065,83.799,0.085,0.505,1.423
2022,Denmark,3,Group Stage,0,537.667,128.0,0.581,0.149,47.667,8.88,23.793,4.21,0.089,55.77,0.03,0.164,0.567
2022,Ecuador,3,Group Stage,0,384.333,102.0,0.603,0.171,20.667,5.44,26.64,3.76,0.054,41.308,0.127,0.216,0.981
2022,England,3,Quarter-final,1,599.667,131.0,0.596,0.156,40.0,6.617,22.193,4.56,0.066,129.469,0.023,0.632,1.508
2022,France,3,Final,1,569.333,131.667,0.597,0.15,47.0,8.157,23.57,4.347,0.082,108.099,0.032,0.873,0.968
2022,Germany,3,Group Stage,0,561.0,126.0,0.525,0.151,47.0,8.163,25.293,4.36,0.082,235.381,0.081,1.542,3.202
2022,Ghana,3,Group Stage,0,328.667,104.0,0.517,0.156,24.333,7.19,31.85,3.157,0.072,59.341,0.034,0.268,1.95
2022,Iran,3,Group Stage,0,264.0,108.667,0.453,0.134,23.0,8.767,45.037,2.353,0.088,123.721,0.078,0.691,0.424
2022,Japan,3,Round of 16,0,306.333,99.667,0.433,0.166,22.667,6.277,38.58,2.933,0.063,192.045,0.051,1.366,2.742
2022,Mexico,3,Group Stage,0,369.333,107.667,0.541,0.16,32.0,8.427,29.543,3.413,0.084,66.531,0.079,0.385,2.468
2022,Morocco,3,3rd Place,1,299.333,101.0,0.512,0.139,16.0,5.373,33.81,2.973,0.054,11.59,0.09,0.255,1.31
2022,Netherlands,3,Quarter-final,1,532.333,117.333,0.555,0.146,43.333,7.79,22.883,4.447,0.078,188.641,0.032,0.75,1.683
2022,Poland,3,Round of 16,0,261.667,101.667,0.543,0.129,24.0,9.23,38.847,2.573,0.092,4.619,0.103,0.061,5.365
2022,Portugal,3,Quarter-final,1,545.0,134.667,0.561,0.122,40.0,7.343,24.767,4.053,0.073,27.221,0.013,0.301,2.168
2022,Qatar,3,Group Stage,0,380.0,112.333,0.586,0.161,22.667,5.98,29.603,3.44,0.06,17.088,0.013,0.586,0.811
2022,Saudi Arabia,3,Group Stage,0,293.333,107.333,0.484,0.134,23.0,7.883,41.203,2.607,0.079,169.459,0.068,0.912,1.344
2022,Senegal,3,Round of 16,0,339.667,110.0,0.554,0.145,28.333,8.603,34.847,3.03,0.086,124.557,0.067,0.841,3.081
2022,Serbia,3,Group Stage,0,395.333,132.0,0.55,0.139,32.0,8.043,33.65,3.003,0.08,39.804,0.025,0.354,0.805
2022,South Korea,3,Round of 16,0,386.333,112.667,0.619,0.148,34.333,8.683,30.167,3.407,0.087,99.806,0.03,0.709,1.183
2022,Spain,3,Round of 16,0,860.0,134.0,0.583,0.165,57.0,6.38,16.453,6.39,0.064,244.35,0.044,1.628,1.56
2022,Switzerland,3,Round of 16,0,411.667,118.0,0.539,0.143,30.333,7.437,28.837,3.48,0.074,59.214,0.055,0.252,1.614
2022,Tunisia,3,Group Stage,0,332.0,104.0,0.497,0.145,25.667,7.9,31.32,3.193,0.079,67.134,0.104,0.049,2.79
2022,United States,3,Round of 16,0,441.0,120.667,0.524,0.147,33.667,7.6,27.523,3.643,0.076,72.67,0.027,0.236,1.664
2022,Uruguay,3,Group Stage,0,387.667,123.667,0.538,0.151,35.0,8.933,32.983,3.17,0.089,78.233,0.012,0.855,1.694
2022,Wales,3,Group Stage,0,350.333,112.333,0.512,0.154,22.667,6.073,33.307,3.12,0.061,82.585,0.032,0.757,2.79
