match_id,year,team,opponent,home_score,away_score,result,total_completed,pct_forward,pct_lateral,pct_backward,n_forward,n_lateral,n_backward
3857276,2022,Canada,Morocco,1,2,loss,480,54.0,9.8,36.2,259,47,174
3857276,2022,Morocco,Canada,1,2,win,310,50.3,9.0,40.6,156,28,126
3857271,2022,England,Iran,6,2,win,746,47.1,10.7,42.2,351,80,315
3857271,2022,Iran,England,6,2,loss,163,51.5,8.0,40.5,84,13,66
3857296,2022,Croatia,Belgium,0,0,draw,514,52.9,9.5,37.5,272,49,193
3857296,2022,Belgium,Croatia,0,0,draw,543,53.6,10.1,36.3,291,55,197
3857274,2022,Netherlands,Ecuador,1,1,draw,457,52.3,14.7,33.0,239,67,151
3857274,2022,Ecuador,Netherlands,1,1,draw,359,50.4,9.7,39.8,181,35,143
3857255,2022,Japan,Spain,2,1,win,177,59.3,7.9,32.8,105,14,58
3857255,2022,Spain,Japan,2,1,loss,993,46.1,12.9,41.0,458,128,407
3857272,2022,England,United States,0,0,draw,500,51.6,11.2,37.2,258,56,186
3857272,2022,United States,England,0,0,draw,377,50.1,12.7,37.1,189,48,140
3857278,2022,Iran,United States,0,1,loss,402,52.0,9.5,38.6,209,38,155
3857278,2022,United States,Iran,0,1,win,426,55.9,10.6,33.6,238,45,143
3857277,2022,Morocco,Croatia,0,0,draw,301,52.2,14.6,33.2,157,44,100
3857277,2022,Croatia,Morocco,0,0,draw,577,49.2,13.7,37.1,284,79,214
3857273,2022,Wales,Iran,0,2,loss,438,52.7,13.2,34.0,231,58,149
3857273,2022,Iran,Wales,0,2,win,227,61.2,9.7,29.1,139,22,66
3857275,2022,Tunisia,France,1,0,win,275,56.0,12.7,31.3,154,35,86
3857275,2022,France,Tunisia,1,0,loss,564,50.0,12.9,37.1,282,73,209
3857261,2022,Wales,England,0,3,loss,274,43.1,13.5,43.4,118,37,119
3857261,2022,England,Wales,0,3,win,553,47.4,13.6,39.1,262,75,216
3857290,2022,Switzerland,Cameroon,1,0,win,461,52.7,11.7,35.6,243,54,164
3857290,2022,Cameroon,Switzerland,1,0,loss,440,49.8,11.4,38.9,219,50,171
3857298,2022,Portugal,Ghana,3,2,win,576,51.9,11.8,36.3,299,68,209
3857298,2022,Ghana,Portugal,3,2,loss,336,51.5,10.4,38.1,173,35,128
3857285,2022,Senegal,Netherlands,0,2,loss,344,45.9,14.5,39.5,158,50,136
3857285,2022,Netherlands,Senegal,0,2,win,393,51.9,10.4,37.7,204,41,148
3857282,2022,United States,Wales,1,1,draw,520,52.3,10.0,37.7,272,52,196
3857282,2022,Wales,United States,1,1,draw,339,50.1,10.0,39.8,170,34,135
3857297,2022,Poland,Saudi Arabia,2,0,win,259,56.0,10.0,34.0,145,26,88
3857297,2022,Saudi Arabia,Poland,2,0,loss,489,47.9,11.9,40.3,234,58,197
3857294,2022,Netherlands,Qatar,2,0,win,747,53.5,10.2,36.3,400,76,271
3857294,2022,Qatar,Netherlands,2,0,loss,396,44.4,11.9,43.7,176,47,173
3857266,2022,France,Denmark,2,1,win,464,51.7,9.7,38.6,240,45,179
3857266,2022,Denmark,France,2,1,loss,479,49.7,13.6,36.7,238,65,176
3857284,2022,Germany,Japan,1,2,loss,723,50.9,11.3,37.8,368,82,273
3857284,2022,Japan,Germany,1,2,win,215,54.9,11.6,33.5,118,25,72
3857254,2022,Denmark,Tunisia,0,0,draw,544,51.7,11.6,36.8,281,63,200
3857254,2022,Tunisia,Denmark,0,0,draw,315,46.7,10.5,42.9,147,33,135
3857265,2022,Mexico,Poland,0,0,draw,437,55.6,10.5,33.9,243,46,148
3857265,2022,Poland,Mexico,0,0,draw,259,52.9,12.7,34.4,137,33,89
3857301,2022,Qatar,Senegal,1,3,loss,362,49.7,11.3,39.0,180,41,141
3857301,2022,Senegal,Qatar,1,3,win,462,49.1,9.3,41.6,227,43,192
