match_id,team,passer,recipient,weight
3857254,Denmark,Andreas Christensen,Christian Dannemann Eriksen,10
3857254,Denmark,Andreas Christensen,Joachim Andersen,9
3857254,Denmark,Andreas Christensen,Joakim Mæhle,9
3857254,Denmark,Andreas Christensen,Kasper Dolberg,1
3857254,Denmark,Andreas Christensen,Kasper Schmeichel,3
3857254,Denmark,Andreas Christensen,Mathias Jensen,11
3857254,Denmark,Andreas Christensen,Mikkel Damsgaard,2
3857254,Denmark,Andreas Christensen,Pierre-Emile Højbjerg,11
3857254,Denmark,Andreas Christensen,Simon Thorup Kjær,15
3857254,Denmark,Andreas Christensen,Thomas Delaney,7
3857254,Denmark,Christian Dannemann Eriksen,Andreas Christensen,10
3857254,Denmark,Christian Dannemann Eriksen,Andreas Evald Cornelius,4
3857254,Denmark,Christian Dannemann Eriksen,Andreas Skov Olsen,1
3857254,Denmark,Christian Dannemann Eriksen,Jesper Lindstrøm,2
3857254,Denmark,Christian Dannemann Eriksen,Joachim Andersen,7
3857254,Denmark,Christian Dannemann Eriksen,Joakim Mæhle,5
3857254,Denmark,Christian Dannemann Eriksen,Kasper Dolberg,1
3857254,Denmark,Christian Dannemann Eriksen,Mathias Jensen,1
3857254,Denmark,Christian Dannemann Eriksen,Mikkel Damsgaard,2
3857254,Denmark,Christian Dannemann Eriksen,Pierre-Emile Højbjerg,16
3857254,Denmark,Christian Dannemann Eriksen,Rasmus Nissen Kristensen,8
3857254,Denmark,Christian Dannemann Eriksen,Simon Thorup Kjær,8
3857254,Denmark,Christian Dannemann Eriksen,Thomas Delaney,1
3857254,Denmark,Joachim Andersen,Andreas Christensen,15
3857254,Denmark,Joachim Andersen,Andreas Evald Cornelius,1
3857254,Denmark,Joachim Andersen,Andreas Skov Olsen,1
3857254,Denmark,Joachim Andersen,Christian Dannemann Eriksen,7
3857254,Denmark,Joachim Andersen,Jesper Lindstrøm,1
3857254,Denmark,Joachim Andersen,Joakim Mæhle,1
3857254,Denmark,Joachim Andersen,Kasper Schmeichel,6
3857254,Denmark,Joachim Andersen,Mathias Jensen,2
3857254,Denmark,Joachim Andersen,Mikkel Damsgaard,1
3857254,Denmark,Joachim Andersen,Pierre-Emile Højbjerg,8
3857254,Denmark,Joachim Andersen,Rasmus Nissen Kristensen,11
3857254,Denmark,Joachim Andersen,Simon Thorup Kjær,7
3857254,Denmark,Joachim Andersen,Thomas Delaney,1
3857254,Denmark,Joakim Mæhle,Andreas Christensen,12
3857254,Denmark,Joakim Mæhle,Andreas Evald Cornelius,1
3857254,Denmark,Joakim Mæhle,Andreas Skov Olsen,1
3857254,Denmark,Joakim Mæhle,Christian Dannemann Eriksen,6
3857254,Denmark,Joakim Mæhle,Kasper Dolberg,3
3857254,Denmark,Joakim Mæhle,Mathias Jensen,5
3857254,Denmark,Joakim Mæhle,Mikkel Damsgaard,6
3857254,Denmark,Joakim Mæhle,Pierre-Emile Højbjerg,3
3857254,Denmark,Joakim Mæhle,Rasmus Nissen Kristensen,1
3857254,Denmark,Joakim Mæhle,Thomas Delaney,5
3857254,Denmark,Kasper Dolberg,Andreas Skov Olsen,2
3857254,Denmark,Kasper Dolberg,Christian Dannemann Eriksen,5
3857254,Denmark,Kasper Dolberg,Joachim Andersen,1
3857254,Denmark,Kasper Dolberg,Rasmus Nissen Kristensen,1
3857254,Denmark,Kasper Dolberg,Thomas Delaney,1
3857254,Denmark,Kasper Schmeichel,Andreas Christensen,5
3857254,Denmark,Kasper Schmeichel,Andreas Evald Cornelius,3
3857254,Denmark,Kasper Schmeichel,Andreas Skov Olsen,1
3857254,Denmark,Kasper Schmeichel,Christian Dannemann Eriksen,2
3857254,Denmark,Kasper Schmeichel,Joachim Andersen,4
3857254,Denmark,Kasper Schmeichel,Joakim Mæhle,1
3857254,Denmark,Kasper Schmeichel,Mathias Jensen,1
3857254,Denmark,Kasper Schmeichel,Pierre-Emile Højbjerg,3
3857254,Denmark,Kasper Schmeichel,Simon Thorup Kjær,2
3857254,Denmark,Mathias Jensen,Andreas Christensen,4
3857254,Denmark,Mathias Jensen,Andreas Evald Cornelius,2
3857254,Denmark,Mathias Jensen,Christian Dannemann Eriksen,2
3857254,Denmark,Mathias Jensen,Joachim Andersen,3
3857254,Denmark,Mathias Jensen,Joakim Mæhle,6
3857254,Denmark,Mathias Jensen,Kasper Schmeichel,2
3857254,Denmark,Mathias Jensen,Mikkel Damsgaard,5
3857254,Denmark,Mathias Jensen,Pierre-Emile Højbjerg,4
3857254,Denmark,Mikkel Damsgaard,Andreas Evald Cornelius,1
3857254,Denmark,Mikkel Damsgaard,Andreas Skov Olsen,1
3857254,Denmark,Mikkel Damsgaard,Christian Dannemann Eriksen,3
3857254,Denmark,Mikkel Damsgaard,Joachim Andersen,1
3857254,Denmark,Mikkel Damsgaard,Joakim Mæhle,9
3857254,Denmark,Mikkel Damsgaard,Kasper Dolberg,2
3857254,Denmark,Mikkel Damsgaard,Mathias Jensen,4
3857254,Denmark,Mikkel Damsgaard,Simon Thorup Kjær,1
3857254,Denmark,Pierre-Emile Højbjerg,Andreas Christensen,11
3857254,Denmark,Pierre-Emile Højbjerg,Andreas Skov Olsen,6
3857254,Denmark,Pierre-Emile Højbjerg,Christian Dannemann Eriksen,14
3857254,Denmark,Pierre-Emile Højbjerg,Jesper Lindstrøm,1
3857254,Denmark,Pierre-Emile Højbjerg,Joachim Andersen,8
3857254,Denmark,Pierre-Emile Højbjerg,Joakim Mæhle,2
3857254,Denmark,Pierre-Emile Højbjerg,Kasper Dolberg,3
3857254,Denmark,Pierre-Emile Højbjerg,Kasper Schmeichel,1
3857254,Denmark,Pierre-Emile Højbjerg,Mathias Jensen,5
3857254,Denmark,Pierre-Emile Højbjerg,Mikkel Damsgaard,1
3857254,Denmark,Pierre-Emile Højbjerg,Rasmus Nissen Kristensen,6
3857254,Denmark,Pierre-Emile Højbjerg,Simon Thorup Kjær,7
3857254,Denmark,Pierre-Emile Højbjerg,Thomas Delaney,3
3857254,Denmark,Simon Thorup Kjær,Andreas Christensen,11
3857254,Denmark,Simon Thorup Kjær,Andreas Skov Olsen,1
3857254,Denmark,Simon Thorup Kjær,Christian Dannemann Eriksen,10
3857254,Denmark,Simon Thorup Kjær,Joachim Andersen,7
3857254,Denmark,Simon Thorup Kjær,Joakim Mæhle,1
3857254,Denmark,Simon Thorup Kjær,Kasper Schmeichel,1
3857254,Denmark,Simon Thorup Kjær,Mikkel Damsgaard,4
3857254,Denmark,Simon Thorup Kjær,Pierre-Emile Højbjerg,9
3857254,Denmark,Simon Thorup Kjær,Rasmus Nissen Kristensen,1
3857254,Denmark,Simon Thorup Kjær,Thomas Delaney,5
3857254,Denmark,Thomas Delaney,Andreas Christensen,5
3857254,Denmark,Thomas Delaney,Christian Dannemann Eriksen,3
3857254,Denmark,Thomas Delaney,Joachim Andersen,2
3857254,Denmark,Thomas Delaney,Joakim Mæhle,5
3857254,Denmark,Thomas Delaney,Kasper Dolberg,2
3857254,Denmark,Thomas Delaney,Pierre-Emile Højbjerg,2
3857254,Denmark,Thomas Delaney,Rasmus Nissen Kristensen,2
3857254,Denmark,Thomas Delaney,Simon Thorup Kjær,5
3857254,Denmark,Andreas Evald Cornelius,Joakim Mæhle,1
3857254,Denmark,Andreas Evald Cornelius,Mikkel Damsgaard,2
3857254,Denmark,Andreas Skov Olsen,Christian Dannemann Eriksen,1
3857254,Denmark,Andreas Skov Olsen,Joachim Andersen,1
3857254,Denmark,Andreas Skov Olsen,Kasper Dolberg,2
3857254,Denmark,Andreas Skov Olsen,Pierre-Emile Højbjerg,5
