match_id,team,player,total_passes_sent,total_passes_received,weighted_degree
3857254,Denmark,Andreas Christensen,78,73,151
3857254,Denmark,Christian Dannemann Eriksen,66,67,133
3857254,Denmark,Joachim Andersen,62,58,120
3857254,Denmark,Joakim Mæhle,43,40,83
3857254,Denmark,Kasper Dolberg,10,16,26
3857254,Denmark,Kasper Schmeichel,22,13,35
3857254,Denmark,Mathias Jensen,28,29,57
3857254,Denmark,Mikkel Damsgaard,22,23,45
3857254,Denmark,Pierre-Emile Højbjerg,68,68,136
3857254,Denmark,Simon Thorup Kjær,50,45,95
3857254,Denmark,Thomas Delaney,26,26,52
3857254,Denmark,Andreas Evald Cornelius,3,12,15
3857254,Denmark,Andreas Skov Olsen,19,30,49
3857254,Denmark,Rasmus Nissen Kristensen,44,39,83
3857254,Denmark,Jesper Lindstrøm,3,5,8
3857254,Tunisia,Ali Abdi,27,29,56
3857254,Tunisia,Anis Ben Slimane,17,18,35
3857254,Tunisia,Aymen Dahmen,25,19,44
3857254,Tunisia,Aïssa Bilal Laïdouni,36,32,68
3857254,Tunisia,Ellyes Joris Skhiri,30,24,54
3857254,Tunisia,Issam Jebali,15,20,35
3857254,Tunisia,Montassar Omar Talbi,38,33,71
3857254,Tunisia,Naïm Sliti,6,8,14
3857254,Tunisia,Youssef Msakni,19,25,44
3857254,Tunisia,Dylan Daniel Mahmoud Bronn,30,31,61
3857254,Tunisia,Mohamed Dräger,23,24,47
3857254,Tunisia,Yassine Meriah,44,47,91
3857254,Tunisia,Taha Yassine Khenissi,1,2,3
3857254,Tunisia,Hannibal Mejbri,2,1,3
3857254,Tunisia,Ferjani Sassi,1,2,3
3857254,Tunisia,Wajdi Kechrida,1,0,1
3857255,Japan,Ao Tanaka,20,21,41
3857255,Japan,Daichi Kamada,10,14,24
3857255,Japan,Daizen Maeda,3,3,6
3857255,Japan,Hidemasa Morita,26,25,51
3857255,Japan,Junya Ito,20,18,38
3857255,Japan,Kaoru Mitoma,8,10,18
