match_id,team,stage,completed_passes,progressive_passes,final_third,reached_qf
3857276,Canada,group,480,128,88,0
3857276,Morocco,group,310,88,47,1
3857271,England,group,746,191,143,1
3857271,Iran,group,163,49,40,0
3857296,Croatia,group,514,147,150,1
3857296,Belgium,group,543,138,105,0
3857274,Netherlands,group,457,125,73,1
3857274,Ecuador,group,359,94,68,0
3857255,Japan,group,177,61,39,0
3857255,Spain,group,993,195,262,0
3857272,England,group,500,144,113,1
3857272,United States,group,377,105,83,0
3857278,Iran,group,402,130,78,0
3857278,United States,group,426,132,129,0
3857277,Morocco,group,301,84,51,1
3857277,Croatia,group,577,139,85,1
3857273,Wales,group,438,133,107,0
3857273,Iran,group,227,88,72,0
3857275,Tunisia,group,275,96,71,0
3857275,France,group,564,146,132,1
3857261,Wales,group,274,70,38,0
3857261,England,group,553,129,128,1
3857290,Switzerland,group,461,125,110,0
3857290,Cameroon,group,440,122,105,0
3857298,Portugal,group,576,156,147,1
3857298,Ghana,group,336,86,41,0
3857285,Senegal,group,344,86,135,0
3857285,Netherlands,group,393,107,97,1
3857282,United States,group,520,143,115,0
3857282,Wales,group,339,107,64,0
3857297,Poland,group,259,77,81,0
3857297,Saudi Arabia,group,489,133,168,0
3857294,Netherlands,group,747,178,205,1
3857294,Qatar,group,396,86,76,0
3857266,France,group,464,137,110,1
3857266,Denmark,group,479,135,120,0
3857284,Germany,group,723,192,203,0
3857284,Japan,group,215,72,48,0
3857254,Denmark,group,544,161,131,0
3857254,Tunisia,group,315,90,40,0
3857265,Mexico,group,437,130,107,0
3857265,Poland,group,259,73,74,0
3857301,Qatar,group,362,112,58,0
3857301,Senegal,group,462,134,130,0
3857268,Belgium,group,451,121,52,0
3857268,Canada,group,401,126,125,0
3857269,Brazil,group,507,119,156,1
3857269,Switzerland,group,428,101,63,0
3869321,Netherlands,QF,572,197,97,1
3869321,Argentina,QF,531,134,111,1
3857292,Costa Rica,group,284,96,42,0
3857292,Germany,group,669,205,267,0
3857295,Japan,group,527,137,125,0
3857295,Costa Rica,group,374,85,30,0
3869685,Argentina,Final,560,164,145,1
3869685,France,Final,434,126,85,1
3869684,Croatia,3rd Place Final,439,133,82,1
3869684,Morocco,3rd Place Final,431,117,88,1
3857256,Serbia,group,407,118,89,0
3857256,Switzerland,group,346,112,89,0
3869151,Argentina,R16,646,126,126,1
3869151,Australia,R16,384,108,55,0
3857257,Australia,group,219,85,69,0
3857257,Denmark,group,590,163,152,0
3857258,Brazil,group,539,151,169,1
3857258,Serbia,group,351,90,64,0
3857288,Tunisia,group,406,123,93,0
3857288,Australia,group,274,96,88,0
3857267,Ecuador,group,362,108,63,0
3857267,Senegal,group,213,79,75,0
3857287,Uruguay,group,475,121,105,0
3857287,South Korea,group,351,92,118,0
3869486,Morocco,QF,184,67,27,1
3869486,Portugal,QF,616,163,145,1
3857260,Saudi Arabia,group,194,77,62,0
3857260,Mexico,group,367,126,92,0
3857264,Poland,group,267,67,29,0
3857264,Argentina,group,826,189,260,1
3857289,Argentina,group,476,122,95,1
3857289,Mexico,group,304,78,62,0
3869254,Portugal,R16,404,104,75,1
3869254,Switzerland,R16,438,113,91,0
3869118,England,R16,536,140,103,1
3869118,Senegal,R16,323,90,60,0
3869519,Argentina,SF,358,79,85,1
3869519,Croatia,SF,559,135,125,1
3869354,England,QF,465,116,109,1
3869354,France,QF,328,87,105,1
3869552,France,SF,316,87,54,1
3869552,Morocco,SF,529,159,108,1
3869420,Croatia,QF,639,174,126,1
3869420,Brazil,QF,652,173,181,1
3869220,Morocco,R16,250,89,46,1
3869220,Spain,R16,960,220,239,0
3869219,Japan,R16,436,116,115,0
3869219,Croatia,R16,657,184,159,1
3869253,Brazil,R16,566,140,136,1
3869253,South Korea,R16,476,120,134,0
3869152,France,R16,505,127,146,1
3869152,Poland,R16,406,109,86,0
3869117,Netherlands,R16,332,108,69,1
3869117,United States,R16,499,137,143,0
3857270,Portugal,group,525,122,138,1
3857270,Uruguay,group,324,91,86,0
3857263,Spain,group,578,140,89,0
3857263,Germany,group,291,82,65,0
3857259,Cameroon,group,276,88,77,0
3857259,Serbia,group,428,130,116,0
3857283,Belgium,group,604,164,90,0
3857283,Morocco,group,287,82,59,1
3857286,Qatar,group,382,93,50,0
3857286,Ecuador,group,432,101,66,0
3857300,Argentina,group,542,130,107,1
3857300,Saudi Arabia,group,197,52,61,0
3857299,South Korea,group,499,149,180,0
3857299,Ghana,group,266,64,60,0
3857293,Ghana,group,384,122,111,0
3857293,Uruguay,group,364,114,101,0
3857291,Spain,group,1009,239,228,0
3857291,Costa Rica,group,172,59,29,0
3857281,Croatia,group,411,113,124,1
3857281,Canada,group,437,130,109,0
3857280,Cameroon,group,254,85,67,0
3857280,Brazil,group,512,146,140,1
3857279,France,group,680,146,182,1
3857279,Australia,group,394,101,54,0
3857262,South Korea,group,309,90,78,0
3857262,Portugal,group,534,132,143,1
