match_id,team,player,passes_sent,passes_received,weighted_in_degree,weighted_out_degree,total_weighted_degree,betweenness_centrality,unique_passing_partners,progressive_passes_sent,progressive_passes_received
3857254,Denmark,Kasper Dolberg,10,16,16,10,26,0.0631868131868132,9,1,13
3857254,Denmark,Christian Dannemann Eriksen,66,67,67,66,133,0.08763736263736265,14,7,28
3857254,Denmark,Andreas Skov Olsen,19,30,30,19,49,0.1582417582417583,10,2,20
3857254,Denmark,Rasmus Nissen Kristensen,44,39,39,44,83,0.03406593406593406,9,15,16
3857254,Denmark,Joakim Mæhle,43,40,40,43,83,0.09184981684981687,13,10,27
3857254,Denmark,Pierre-Emile Højbjerg,68,68,68,68,136,0.026556776556776556,13,23,11
3857254,Denmark,Joachim Andersen,62,58,58,62,120,0.24395604395604392,14,22,1
3857254,Denmark,Kasper Schmeichel,22,13,13,22,35,0.056043956043956046,9,12,0
3857254,Denmark,Andreas Christensen,78,73,73,78,151,0.0,10,24,3
3857254,Denmark,Simon Thorup Kjær,50,45,45,50,95,0.041208791208791215,10,19,0
3857254,Denmark,Thomas Delaney,26,26,26,26,52,0.07783882783882785,9,9,9
3857254,Denmark,Mikkel Damsgaard,22,23,23,22,45,0.11501831501831503,10,9,11
3857254,Denmark,Mathias Jensen,28,29,29,28,57,0.04441391941391941,8,8,9
3857254,Denmark,Andreas Evald Cornelius,3,12,12,3,15,0.013736263736263738,6,0,9
3857254,Denmark,Jesper Lindstrøm,3,5,5,3,8,0.03727106227106227,4,0,4
3857254,Tunisia,Dylan Daniel Mahmoud Bronn,30,31,31,30,61,0.09555555555555556,10,9,7
3857254,Tunisia,Yassine Meriah,44,47,47,44,91,0.1003174603174603,11,14,0
3857254,Tunisia,Issam Jebali,15,20,20,15,35,0.08238095238095239,9,2,15
3857254,Tunisia,Anis Ben Slimane,17,18,18,17,35,0.07095238095238096,9,2,9
3857254,Tunisia,Youssef Msakni,19,25,25,19,44,0.061428571428571443,9,5,6
3857254,Tunisia,Ali Abdi,27,29,29,27,56,0.09015873015873015,9,11,15
3857254,Tunisia,Aïssa Bilal Laïdouni,36,32,32,36,68,0.09023809523809523,12,9,12
3857254,Tunisia,Mohamed Dräger,23,24,24,23,47,0.10341269841269843,10,4,18
3857254,Tunisia,Montassar Omar Talbi,38,33,33,38,71,0.14333333333333334,11,10,0
3857254,Tunisia,Ellyes Joris Skhiri,30,24,24,30,54,0.003968253968253968,8,11,4
3857254,Tunisia,Aymen Dahmen,25,19,19,25,44,0.08285714285714285,8,11,0
3857254,Tunisia,Naïm Sliti,6,8,8,6,14,0.24603174603174607,7,1,2
3857254,Tunisia,Hannibal Mejbri,2,1,1,2,3,0.024761904761904766,3,0,0
3857254,Tunisia,Taha Yassine Khenissi,1,2,2,1,3,0.08507936507936507,3,0,2
3857254,Tunisia,Wajdi Kechrida,1,0,0,1,1,0.0,1,0,0
3857254,Tunisia,Ferjani Sassi,1,2,2,1,3,0.06666666666666668,2,1,0
3857255,Spain,Pablo Martín Páez Gavira,41,41,41,41,82,0.039047619047619046,10,3,12
3857255,Spain,Pau Francisco Torres,171,178,178,171,349,0.048571428571428564,13,34,9
3857255,Spain,César Azpilicueta Tanco,70,65,65,70,135,0.0,8,12,14
3857255,Spain,Rodrigo Hernández Cascante,206,193,193,206,399,0.08547619047619048,14,61,11
3857255,Spain,Pedro González López,116,121,121,116,237,0.0646031746031746,14,28,9
3857255,Spain,Sergio Busquets i Burgos,69,63,63,69,132,0.2175396825396826,14,9,12
3857255,Spain,Álvaro Borja Morata Martín,11,17,17,11,28,0.263968253968254,9,0,13
3857255,Spain,Alejandro Balde Martínez,58,54,54,58,112,0.03571428571428572,6,7,9
3857255,Spain,Nicholas Williams Arthuer,22,24,24,22,46,0.0,6,1,12
3857255,Spain,Daniel Olmo Carvajal,36,51,51,36,87,0.165,10,2,27
3857255,Spain,Unai Simón Mendibil,37,28,28,37,65,0.05031746031746032,7,21,0
3857255,Spain,Daniel Carvajal Ramos,57,44,44,57,101,0.03650793650793651,9,9,12
3857255,Spain,Ferrán Torres García,13,16,16,13,29,0.06198412698412698,6,0,13
3857255,Spain,Marco Asensio Willemsen,20,33,33,20,53,0.17634920634920637,9,4,15
3857255,Spain,Jordi Alba Ramos,49,47,47,49,96,0.0642857142857143,8,3,19
3857255,Spain,Anssumane Fati,17,18,18,17,35,0.03253968253968254,5,1,8
3857255,Japan,Junya Ito,20,18,18,20,38,0.0694270015698587,11,3,9
3857255,Japan,Takefusa Kubo,6,10,10,6,16,0.023076923076923078,6,2,3
3857255,Japan,Hidemasa Morita,26,25,25,26,51,0.18553113553113554,13,7,8
3857255,Japan,Daichi Kamada,10,14,14,10,24,0.1021978021978022,9,4,8
3857255,Japan,Ao Tanaka,20,21,21,20,41,0.22588958660387237,12,6,5
3857255,Japan,Ko Itakura,16,12,12,16,28,0.18774201988487704,10,4,2
3857255,Japan,Maya Yoshida,17,12,12,17,29,0.05257718472004187,8,7,1
3857255,Japan,Yuto Nagatomo,7,10,10,7,17,0.004631083202511774,6,0,8
3857255,Japan,Shogo Taniguchi,26,18,18,26,44,0.05484039769754056,10,13,0
3857255,Japan,Shūichi Gonda,11,9,9,11,20,0.0038461538461538464,9,9,0
3857255,Japan,Daizen Maeda,3,3,3,3,6,0.022762951334379906,5,1,3
3857255,Japan,Kaoru Mitoma,8,10,10,8,18,0.13351648351648351,6,2,4
3857255,Japan,Ritsu Doan,2,7,7,2,9,0.02994505494505495,6,2,3
3857255,Japan,Takuma Asano,4,7,7,4,11,0.006135531135531136,5,0,7
3857255,Japan,Takehiro Tomiyasu,1,1,1,1,2,0.011446886446886446,2,1,0
3857256,Switzerland,Breel-Donald Embolo,14,23,23,14,37,0.13246336996337,10,1,17
3857256,Switzerland,Remo Freuler,14,21,21,14,35,0.19445970695970702,11,2,7
3857256,Switzerland,Silvan Widmer,50,43,43,50,93,0.036584249084249086,10,18,9
3857256,Switzerland,Fabian Lukas Schär,35,30,30,35,65,0.033195970695970696,10,15,1
3857256,Switzerland,Djibril Sow,23,23,23,23,46,0.052976190476190475,10,6,12
3857256,Switzerland,Xherdan Shaqiri,16,26,26,16,42,0.016666666666666666,9,3,12
3857256,Switzerland,Gregor Kobel,19,10,10,19,29,0.016483516483516484,6,9,0
3857256,Switzerland,Ruben Vargas,17,23,23,17,40,0.0815018315018315,8,5,17
3857256,Switzerland,Ricardo Iván Rodríguez Araya,31,36,36,31,67,0.08072344322344323,12,7,20
3857256,Switzerland,Manuel Obafemi Akanji,46,41,41,46,87,0.0018315018315018315,10,18,3
3857256,Switzerland,Granit Xhaka,52,45,45,52,97,0.1501831501831502,14,20,7
3857256,Switzerland,Edimilson Fernandes,13,11,11,13,24,0.05032051282051282,7,3,2
3857256,Switzerland,Denis Lemi Zakaria Lako Lado,8,5,5,8,13,0.1863095238095238,7,4,0
3857256,Switzerland,Christian Fassnacht,8,8,8,8,16,0.04386446886446887,5,1,4
3857256,Switzerland,Noah Okafor,0,1,1,0,1,0.0,1,0,1
3857256,Serbia,Andrija Živković,21,26,26,21,47,0.09793650793650795,10,3,15
3857256,Serbia,Saša Lukić,53,47,47,53,100,0.012698412698412698,15,13,6
3857256,Serbia,Nikola Milenković,51,52,52,51,103,0.23769841269841271,14,11,8
3857256,Serbia,Sergej Milinković-Savić,26,23,23,26,49,0.18011904761904762,12,5,8
3857256,Serbia,Filip Kostić,35,30,30,35,65,0.010714285714285713,10,9,19
3857256,Serbia,Strahinja Pavlović,66,65,65,66,131,0.06888888888888889,14,30,5
3857256,Serbia,Milos Veljkovic,29,26,26,29,55,0.0037301587301587303,9,10,2
3857256,Serbia,Vanja Milinković Savić,30,24,24,30,54,0.09595238095238096,11,17,0
3857256,Serbia,Dušan Tadić,28,34,34,28,62,0.03456349206349207,12,8,14
3857256,Serbia,Aleksandar Mitrović,17,24,24,17,41,0.05293650793650794,10,4,17
3857256,Serbia,Dušan Vlahović,3,11,11,3,14,0.04317460317460318,7,0,10
3857256,Serbia,Luka Jović,7,12,12,7,19,0.006587301587301588,8,0,8
3857256,Serbia,Nemanja Gudelj,17,12,12,17,29,0.06888888888888889,9,3,1
3857256,Serbia,Nemanja Maksimović,17,11,11,17,28,0.0965079365079365,9,4,1
3857256,Serbia,Nemanja Radonjić,5,7,7,5,12,0.0453968253968254,7,1,3
3857256,Serbia,Filip Đuričić,2,3,3,2,5,0.05452380952380952,5,0,1
3857257,Denmark,Martin Braithwaite Christensen,10,13,13,10,23,0.08910430839002269,9,1,10
3857257,Denmark,Christian Dannemann Eriksen,69,60,60,69,129,0.045328798185941044,15,18,11
3857257,Denmark,Joakim Mæhle,40,41,41,40,81,0.09671201814058958,10,9,14
3857257,Denmark,Andreas Christensen,89,79,79,89,168,0.09603174603174602,15,26,1
3857257,Denmark,Joachim Andersen,95,100,100,95,195,0.02993197278911565,14,35,5
3857257,Denmark,Pierre-Emile Højbjerg,71,51,51,71,122,0.04834467120181406,15,21,9
3857257,Denmark,Rasmus Nissen Kristensen,39,35,35,39,74,0.051757369614512466,9,13,8
3857257,Denmark,Mathias Jensen,25,34,34,25,59,0.041405895691609976,11,3,17
3857257,Denmark,Kasper Schmeichel,34,26,26,34,60,0.019331065759637188,10,18,0
3857257,Denmark,Andreas Skov Olsen,25,33,33,25,58,0.07781179138321995,13,3,19
