match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,most_involved_player,top_player_reliance,top_connection,top_connection_count,final_third_entries,advanced_from_group,reached_qf,stage_reached
3857276,Canada vs Morocco,2022-12-01,group,Canada,Morocco,1,2,L,480,140,16,0.5833,Kamal Miller,0.1656,Vitoria → Miller,20,43,0,0,Group Stage
3857276,Canada vs Morocco,2022-12-01,group,Morocco,Canada,2,1,W,310,100,15,0.4762,Achraf Hakimi Mouh,0.1472,Ziyech → Mouh,13,12,1,1,3rd Place
3857271,England vs Iran,2022-11-21,group,England,Iran,6,2,W,746,142,16,0.5917,John Stones,0.1535,Trippier → Stones,29,55,1,1,Quarter-final
3857271,England vs Iran,2022-11-21,group,Iran,England,2,6,L,163,95,16,0.3958,Mehdi Taremi,0.1138,Moharrami → Nourollahi,5,14,0,0,Group Stage
3857296,Croatia vs Belgium,2022-12-01,group,Croatia,Belgium,0,0,D,514,108,14,0.5934,Marcelo Brozović,0.1469,Kovačić → Brozović,22,36,1,1,3rd Place
3857296,Croatia vs Belgium,2022-12-01,group,Belgium,Croatia,0,0,D,543,140,16,0.5833,Toby Alderweireld,0.1492,Alderweireld → Meunier,27,38,0,0,Group Stage
3857274,Netherlands vs Ecuador,2022-11-25,group,Netherlands,Ecuador,1,1,D,457,110,15,0.5238,Nathan Aké,0.1521,Aké → Blind,26,29,1,1,Quarter-final
3857274,Netherlands vs Ecuador,2022-11-25,group,Ecuador,Netherlands,1,1,D,359,97,12,0.7348,Felix Eduardo Torres Caicedo,0.1427,Carabalí → Caicedo,13,20,0,0,Group Stage
3857255,Japan vs Spain,2022-12-01,group,Japan,Spain,2,1,W,177,89,15,0.4238,Hidemasa Morita,0.1441,Taniguchi → Morita,9,7,1,0,Round of 16
3857255,Japan vs Spain,2022-12-01,group,Spain,Japan,1,2,L,993,128,16,0.5333,Rodrigo Hernández Cascante,0.2009,Cascante → Torres,69,79,1,0,Round of 16
3857272,England vs United States,2022-11-25,group,England,United States,0,0,D,500,113,14,0.6209,John Stones,0.171,Maguire → Stones,35,38,1,1,Quarter-final
3857272,England vs United States,2022-11-25,group,United States,England,0,0,D,377,106,15,0.5048,Walker Zimmerman,0.1578,Ream → Zimmerman,23,23,1,0,Round of 16
3857278,Iran vs United States,2022-11-29,group,Iran,United States,0,1,L,402,130,16,0.5417,Morteza Pouraliganji,0.148,Hosseini → Pouraliganji,19,34,0,0,Group Stage
3857278,Iran vs United States,2022-11-29,group,United States,Iran,1,0,W,426,123,16,0.5125,Tyler Adams,0.1315,Adams → McKennie,15,40,1,0,Round of 16
3857277,Morocco vs Croatia,2022-11-23,group,Morocco,Croatia,0,0,D,301,96,13,0.6154,Romain Saïss,0.1441,Mouh → Ziyech,14,18,1,1,3rd Place
3857277,Morocco vs Croatia,2022-11-23,group,Croatia,Morocco,0,0,D,577,126,15,0.6,Joško Gvardiol,0.1759,Lovren → Gvardiol,36,28,1,1,3rd Place
3857273,Wales vs Iran,2022-11-25,group,Wales,Iran,0,2,L,438,112,15,0.5333,Ben Davies,0.1404,Rodon → Davies,18,36,0,0,Group Stage
3857273,Wales vs Iran,2022-11-25,group,Iran,Wales,2,0,W,227,101,16,0.4208,Ramin Rezaeian,0.141,Gholizadeh → Rezaeian,11,21,0,0,Group Stage
3857275,Tunisia vs France,2022-11-30,group,Tunisia,France,1,0,W,275,87,14,0.478,Ali Maâloul,0.1345,Maâloul → Laïdouni,11,30,0,0,Group Stage
3857275,Tunisia vs France,2022-11-30,group,France,Tunisia,0,1,L,564,150,16,0.625,Aurélien Djani Tchouaméni,0.1543,Tchouaméni → Konaté,17,42,1,1,Final
3857261,Wales vs England,2022-11-29,group,Wales,England,0,3,L,274,114,16,0.475,Chris Mepham,0.1642,Ampadu → Mepham,10,8,0,0,Group Stage
3857261,Wales vs England,2022-11-29,group,England,Wales,3,0,W,553,138,16,0.575,Harry Maguire,0.1438,Maguire → Stones,21,27,1,1,Quarter-final
3857290,Switzerland vs Cameroon,2022-11-24,group,Switzerland,Cameroon,1,0,W,461,130,16,0.5417,Nico Elvedi,0.128,Elvedi → Araya,16,37,1,0,Round of 16
3857290,Switzerland vs Cameroon,2022-11-24,group,Cameroon,Switzerland,0,1,L,440,121,15,0.5762,André-Frank Zambo Anguissa,0.1295,Onana → Ndoubena,20,38,0,0,Group Stage
3857298,Portugal vs Ghana,2022-11-24,group,Portugal,Ghana,3,2,W,576,131,16,0.5458,Danilo Luís Hélio Pereira,0.1224,Pereira → Guerreiro,21,39,1,1,Quarter-final
3857298,Portugal vs Ghana,2022-11-24,group,Ghana,Portugal,2,3,L,336,114,15,0.5429,Thomas Teye Partey,0.1475,Amartey → Partey,15,22,0,0,Group Stage
3857285,Senegal vs Netherlands,2022-11-21,group,Senegal,Netherlands,0,2,L,344,112,15,0.5333,Youssouf Sabaly,0.1672,Sabaly → Koulibaly,12,18,1,0,Round of 16
3857285,Senegal vs Netherlands,2022-11-21,group,Netherlands,Senegal,2,0,W,393,101,14,0.5549,Nathan Aké,0.1463,Aké → Dijk,19,29,1,1,Quarter-final
3857282,United States vs Wales,2022-11-21,group,United States,Wales,1,1,D,520,133,16,0.5542,Walker Zimmerman,0.1519,Zimmerman → Dest,28,38,1,0,Round of 16
3857282,United States vs Wales,2022-11-21,group,Wales,United States,1,1,D,339,111,15,0.5286,Joe Rodon,0.1563,Rodon → Mepham,22,24,0,0,Group Stage
3857297,Poland vs Saudi Arabia,2022-11-26,group,Poland,Saudi Arabia,2,0,W,259,101,13,0.6474,Jakub Piotr Kiwior,0.1158,Glik → Kiwior,12,27,1,0,Round of 16
3857297,Poland vs Saudi Arabia,2022-11-26,group,Saudi Arabia,Poland,0,2,L,489,134,16,0.5583,Mohammed Kanoo,0.1411,Hamid → Dawsari,16,38,0,0,Group Stage
3857294,Netherlands vs Qatar,2022-11-29,group,Netherlands,Qatar,2,0,W,747,141,16,0.5875,Jurriën David Norman Timber,0.1386,Aké → Blind,34,72,1,1,Quarter-final
3857294,Netherlands vs Qatar,2022-11-29,group,Qatar,Netherlands,0,2,L,396,124,15,0.5905,Akram Hassan Afif,0.1719,Barsham → Khoukhi,11,20,0,0,Group Stage
3857266,France vs Denmark,2022-11-26,group,France,Denmark,2,1,W,464,118,15,0.5619,Aurélien Djani Tchouaméni,0.1379,Hernández → Lottin,23,36,1,1,Final
3857266,France vs Denmark,2022-11-26,group,Denmark,France,1,2,L,479,115,15,0.5476,Andreas Christensen,0.142,Nelsson → Christensen,24,45,0,0,Group Stage
3857284,Germany vs Japan,2022-11-23,group,Germany,Japan,1,2,L,723,125,16,0.5208,Antonio Rüdiger,0.1452,Schlotterbeck → Rüdiger,32,42,0,0,Group Stage
3857284,Germany vs Japan,2022-11-23,group,Japan,Germany,2,1,W,215,93,16,0.3875,Maya Yoshida,0.1488,Sakai → Ito,8,12,1,0,Round of 16
3857254,Denmark vs Tunisia,2022-11-22,group,Denmark,Tunisia,0,0,D,544,124,15,0.5905,Andreas Christensen,0.1388,Eriksen → Højbjerg,16,45,0,0,Group Stage
3857254,Denmark vs Tunisia,2022-11-22,group,Tunisia,Denmark,0,0,D,315,97,16,0.4042,Yassine Meriah,0.1444,Bronn → Meriah,15,17,0,0,Group Stage
3857265,Mexico vs Poland,2022-11-22,group,Mexico,Poland,0,0,D,437,114,14,0.6264,Héctor Alfredo Moreno Herrera,0.167,Magaña → Herrera,18,42,0,0,Group Stage
3857265,Mexico vs Poland,2022-11-22,group,Poland,Mexico,0,0,D,259,98,14,0.5385,Jakub Piotr Kiwior,0.1293,Szczęsny → Lewandowski,14,36,1,0,Round of 16
3857301,Qatar vs Senegal,2022-11-25,group,Qatar,Senegal,1,3,L,362,120,15,0.5714,Boualem Khoukhi,0.1436,Khoukhi → Madibo,14,23,0,0,Group Stage
3857301,Qatar vs Senegal,2022-11-25,group,Senegal,Qatar,3,1,W,462,120,16,0.5,Youssouf Sabaly,0.1461,Sabaly → Koulibaly,22,43,1,0,Round of 16
3857268,Belgium vs Canada,2022-11-23,group,Belgium,Canada,1,0,W,451,119,15,0.5667,Leander Dendoncker,0.1552,Dendoncker → Alderweireld,25,19,0,0,Group Stage
3857268,Belgium vs Canada,2022-11-23,group,Canada,Belgium,0,1,L,401,129,16,0.5375,Stephen Antunes Eustáquio,0.1409,Eustáquio → Davies,10,42,0,0,Group Stage
3857269,Brazil vs Switzerland,2022-11-28,group,Brazil,Switzerland,1,0,W,507,135,16,0.5625,Marcos Aoás Corrêa,0.1706,Silva → Corrêa,31,40,1,1,Quarter-final
3857269,Brazil vs Switzerland,2022-11-28,group,Switzerland,Brazil,0,1,L,428,116,16,0.4833,Manuel Obafemi Akanji,0.16,Sommer → Akanji,22,24,1,0,Round of 16
3869321,Netherlands vs Argentina,2022-12-09,QF,Netherlands,Argentina,2,2,D,572,144,15,0.6857,Jurriën David Norman Timber,0.1435,Timber → Dijk,26,50,1,1,Quarter-final
