tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection,advanced_from_group,reached_qf,stage_reached,most_involved_player,top_connection
2022,3857276,Canada vs Morocco,2022-12-01,group,Canada,Morocco,1,2,L,480,140,16,0.5833,0.1656,20,43,128,4,0,0,2,0.0896,8.96,29.17,3.43,0,0,Group Stage,Kamal Miller,Vitoria → Miller
2022,3857276,Canada vs Morocco,2022-12-01,group,Morocco,Canada,2,1,W,310,100,15,0.4762,0.1472,13,12,88,2,1,1,1,0.0387,3.87,32.26,3.1,1,1,3rd Place,Achraf Hakimi Mouh,Ziyech → Mouh
2022,3857271,England vs Iran,2022-11-21,group,England,Iran,6,2,W,746,142,16,0.5917,0.1535,29,55,191,4,5,0,4,0.0737,7.37,19.03,5.25,1,1,Quarter-final,John Stones,Trippier → Stones
2022,3857271,England vs Iran,2022-11-21,group,Iran,England,2,6,L,163,95,16,0.3958,0.1138,5,14,49,5,1,1,2,0.0859,8.59,58.28,1.72,0,0,Group Stage,Mehdi Taremi,Moharrami → Nourollahi
2022,3857296,Croatia vs Belgium,2022-12-01,group,Croatia,Belgium,0,0,D,514,108,14,0.5934,0.1469,22,36,147,9,0,0,8,0.07,7.0,21.01,4.76,1,1,3rd Place,Marcelo Brozović,Kovačić → Brozović
2022,3857296,Croatia vs Belgium,2022-12-01,group,Belgium,Croatia,0,0,D,543,140,16,0.5833,0.1492,27,38,138,11,0,2,5,0.07,7.0,25.78,3.88,0,0,Group Stage,Toby Alderweireld,Alderweireld → Meunier
2022,3857274,Netherlands vs Ecuador,2022-11-25,group,Netherlands,Ecuador,1,1,D,457,110,15,0.5238,0.1521,26,29,125,1,1,0,0,0.0635,6.35,24.07,4.15,1,1,Quarter-final,Nathan Aké,Aké → Blind
2022,3857274,Netherlands vs Ecuador,2022-11-25,group,Ecuador,Netherlands,1,1,D,359,97,12,0.7348,0.1427,13,20,94,8,0,0,6,0.0557,5.57,27.02,3.7,0,0,Group Stage,Felix Eduardo Torres Caicedo,Carabalí → Caicedo
2022,3857255,Japan vs Spain,2022-12-01,group,Japan,Spain,2,1,W,177,89,15,0.4238,0.1441,9,7,61,3,2,0,2,0.0395,3.95,50.28,1.99,1,0,Round of 16,Hidemasa Morita,Taniguchi → Morita
2022,3857255,Japan vs Spain,2022-12-01,group,Spain,Japan,1,2,L,993,128,16,0.5333,0.2009,69,79,195,8,1,1,2,0.0796,7.96,12.89,7.76,1,0,Round of 16,Rodrigo Hernández Cascante,Cascante → Torres
2022,3857272,England vs United States,2022-11-25,group,England,United States,0,0,D,500,113,14,0.6209,0.171,35,38,144,6,0,0,3,0.076,7.6,22.6,4.42,1,1,Quarter-final,John Stones,Maguire → Stones
2022,3857272,England vs United States,2022-11-25,group,United States,England,0,0,D,377,106,15,0.5048,0.1578,23,23,105,9,0,0,4,0.061,6.1,28.12,3.56,1,0,Round of 16,Walker Zimmerman,Ream → Zimmerman
2022,3857278,Iran vs United States,2022-11-29,group,Iran,United States,0,1,L,402,130,16,0.5417,0.148,19,34,130,4,0,1,3,0.0846,8.46,32.34,3.09,0,0,Group Stage,Morteza Pouraliganji,Hosseini → Pouraliganji
2022,3857278,Iran vs United States,2022-11-29,group,United States,Iran,1,0,W,426,123,16,0.5125,0.1315,15,40,132,8,1,2,2,0.0939,9.39,28.87,3.46,1,0,Round of 16,Tyler Adams,Adams → McKennie
2022,3857277,Morocco vs Croatia,2022-11-23,group,Morocco,Croatia,0,0,D,301,96,13,0.6154,0.1441,14,18,84,5,0,0,0,0.0598,5.98,31.89,3.14,1,1,3rd Place,Romain Saïss,Mouh → Ziyech
2022,3857277,Morocco vs Croatia,2022-11-23,group,Croatia,Morocco,0,0,D,577,126,15,0.6,0.1759,36,28,139,1,0,0,2,0.0485,4.85,21.84,4.58,1,1,3rd Place,Joško Gvardiol,Lovren → Gvardiol
2022,3857273,Wales vs Iran,2022-11-25,group,Wales,Iran,0,2,L,438,112,15,0.5333,0.1404,18,36,133,7,0,1,5,0.0822,8.22,25.57,3.91,0,0,Group Stage,Ben Davies,Rodon → Davies
2022,3857273,Wales vs Iran,2022-11-25,group,Iran,Wales,2,0,W,227,101,16,0.4208,0.141,11,21,88,12,1,2,2,0.0925,9.25,44.49,2.25,0,0,Group Stage,Ramin Rezaeian,Gholizadeh → Rezaeian
2022,3857275,Tunisia vs France,2022-11-30,group,Tunisia,France,1,0,W,275,87,14,0.478,0.1345,11,30,96,2,1,0,5,0.1091,10.91,31.64,3.16,0,0,Group Stage,Ali Maâloul,Maâloul → Laïdouni
2022,3857275,Tunisia vs France,2022-11-30,group,France,Tunisia,0,1,L,564,150,16,0.625,0.1543,17,42,146,7,0,0,3,0.0745,7.45,26.6,3.76,1,1,Final,Aurélien Djani Tchouaméni,Tchouaméni → Konaté
2022,3857261,Wales vs England,2022-11-29,group,Wales,England,0,3,L,274,114,16,0.475,0.1642,10,8,70,5,0,0,1,0.0292,2.92,41.61,2.4,0,0,Group Stage,Chris Mepham,Ampadu → Mepham
2022,3857261,Wales vs England,2022-11-29,group,England,Wales,3,0,W,553,138,16,0.575,0.1438,21,27,129,10,2,3,3,0.0488,4.88,24.95,4.01,1,1,Quarter-final,Harry Maguire,Maguire → Stones
2022,3857290,Switzerland vs Cameroon,2022-11-24,group,Switzerland,Cameroon,1,0,W,461,130,16,0.5417,0.128,16,37,125,6,1,2,3,0.0803,8.03,28.2,3.55,1,0,Round of 16,Nico Elvedi,Elvedi → Araya
2022,3857290,Switzerland vs Cameroon,2022-11-24,group,Cameroon,Switzerland,0,1,L,440,121,15,0.5762,0.1295,20,38,122,5,0,1,2,0.0864,8.64,27.5,3.64,0,0,Group Stage,André-Frank Zambo Anguissa,Onana → Ndoubena
2022,3857298,Portugal vs Ghana,2022-11-24,group,Portugal,Ghana,3,2,W,576,131,16,0.5458,0.1224,21,39,156,6,2,2,3,0.0677,6.77,22.74,4.4,1,1,Quarter-final,Danilo Luís Hélio Pereira,Pereira → Guerreiro
2022,3857298,Portugal vs Ghana,2022-11-24,group,Ghana,Portugal,2,3,L,336,114,15,0.5429,0.1475,15,22,86,6,0,0,1,0.0655,6.55,33.93,2.95,0,0,Group Stage,Thomas Teye Partey,Amartey → Partey
2022,3857285,Senegal vs Netherlands,2022-11-21,group,Senegal,Netherlands,0,2,L,344,112,15,0.5333,0.1672,12,18,86,13,0,0,7,0.0523,5.23,32.56,3.07,1,0,Round of 16,Youssouf Sabaly,Sabaly → Koulibaly
2022,3857285,Senegal vs Netherlands,2022-11-21,group,Netherlands,Senegal,2,0,W,393,101,14,0.5549,0.1463,19,29,107,7,1,1,6,0.0738,7.38,25.7,3.89,1,1,Quarter-final,Nathan Aké,Aké → Dijk
2022,3857282,United States vs Wales,2022-11-21,group,United States,Wales,1,1,D,520,133,16,0.5542,0.1519,28,38,143,4,1,1,3,0.0731,7.31,25.58,3.91,1,0,Round of 16,Walker Zimmerman,Zimmerman → Dest
2022,3857282,United States vs Wales,2022-11-21,group,Wales,United States,1,1,D,339,111,15,0.5286,0.1563,22,24,107,5,0,0,4,0.0708,7.08,32.74,3.05,0,0,Group Stage,Joe Rodon,Rodon → Mepham
2022,3857297,Poland vs Saudi Arabia,2022-11-26,group,Poland,Saudi Arabia,2,0,W,259,101,13,0.6474,0.1158,12,27,77,6,1,0,7,0.1042,10.42,39.0,2.56,1,0,Round of 16,Jakub Piotr Kiwior,Glik → Kiwior
2022,3857297,Poland vs Saudi Arabia,2022-11-26,group,Saudi Arabia,Poland,0,2,L,489,134,16,0.5583,0.1411,16,38,133,10,0,0,4,0.0777,7.77,27.4,3.65,0,0,Group Stage,Mohammed Kanoo,Hamid → Dawsari
2022,3857294,Netherlands vs Qatar,2022-11-29,group,Netherlands,Qatar,2,0,W,747,141,16,0.5875,0.1386,34,72,178,7,1,1,1,0.0964,9.64,18.88,5.3,1,1,Quarter-final,Jurriën David Norman Timber,Aké → Blind
2022,3857294,Netherlands vs Qatar,2022-11-29,group,Qatar,Netherlands,0,2,L,396,124,15,0.5905,0.1719,11,20,86,3,0,0,3,0.0505,5.05,31.31,3.19,0,0,Group Stage,Akram Hassan Afif,Barsham → Khoukhi
2022,3857266,France vs Denmark,2022-11-26,group,France,Denmark,2,1,W,464,118,15,0.5619,0.1379,23,36,137,17,2,0,11,0.0776,7.76,25.43,3.93,1,1,Final,Aurélien Djani Tchouaméni,Hernández → Lottin
2022,3857266,France vs Denmark,2022-11-26,group,Denmark,France,1,2,L,479,115,15,0.5476,0.142,24,45,135,6,0,1,2,0.0939,9.39,24.01,4.17,0,0,Group Stage,Andreas Christensen,Nelsson → Christensen
2022,3857284,Germany vs Japan,2022-11-23,group,Germany,Japan,1,2,L,723,125,16,0.5208,0.1452,32,42,192,19,0,1,7,0.0581,5.81,17.29,5.78,0,0,Group Stage,Antonio Rüdiger,Schlotterbeck → Rüdiger
2022,3857284,Germany vs Japan,2022-11-23,group,Japan,Germany,2,1,W,215,93,16,0.3875,0.1488,8,12,72,8,1,1,3,0.0558,5.58,43.26,2.31,1,0,Round of 16,Maya Yoshida,Sakai → Ito
2022,3857254,Denmark vs Tunisia,2022-11-22,group,Denmark,Tunisia,0,0,D,544,124,15,0.5905,0.1388,16,45,161,9,0,0,4,0.0827,8.27,22.79,4.39,0,0,Group Stage,Andreas Christensen,Eriksen → Højbjerg
2022,3857254,Denmark vs Tunisia,2022-11-22,group,Tunisia,Denmark,0,0,D,315,97,16,0.4042,0.1444,15,17,90,8,0,1,1,0.054,5.4,30.79,3.25,0,0,Group Stage,Yassine Meriah,Bronn → Meriah
2022,3857265,Mexico vs Poland,2022-11-22,group,Mexico,Poland,0,0,D,437,114,14,0.6264,0.167,18,42,130,9,0,0,6,0.0961,9.61,26.09,3.83,0,0,Group Stage,Héctor Alfredo Moreno Herrera,Magaña → Herrera
2022,3857265,Mexico vs Poland,2022-11-22,group,Poland,Mexico,0,0,D,259,98,14,0.5385,0.1293,14,36,73,4,0,1,0,0.139,13.9,37.84,2.64,1,0,Round of 16,Jakub Piotr Kiwior,Szczęsny → Lewandowski
2022,3857301,Qatar vs Senegal,2022-11-25,group,Qatar,Senegal,1,3,L,362,120,15,0.5714,0.1436,14,23,112,7,1,0,7,0.0635,6.35,33.15,3.02,0,0,Group Stage,Boualem Khoukhi,Khoukhi → Madibo
2022,3857301,Qatar vs Senegal,2022-11-25,group,Senegal,Qatar,3,1,W,462,120,16,0.5,0.1461,22,43,134,7,2,0,2,0.0931,9.31,25.97,3.85,1,0,Round of 16,Youssouf Sabaly,Sabaly → Koulibaly
2022,3857268,Belgium vs Canada,2022-11-23,group,Belgium,Canada,1,0,W,451,119,15,0.5667,0.1552,25,19,121,7,1,1,4,0.0421,4.21,26.39,3.79,0,0,Group Stage,Leander Dendoncker,Dendoncker → Alderweireld
2022,3857268,Belgium vs Canada,2022-11-23,group,Canada,Belgium,0,1,L,401,129,16,0.5375,0.1409,10,42,126,18,0,0,9,0.1047,10.47,32.17,3.11,0,0,Group Stage,Stephen Antunes Eustáquio,Eustáquio → Davies
2022,3857269,Brazil vs Switzerland,2022-11-28,group,Brazil,Switzerland,1,0,W,507,135,16,0.5625,0.1706,31,40,119,9,1,0,2,0.0789,7.89,26.63,3.76,1,1,Quarter-final,Marcos Aoás Corrêa,Silva → Corrêa
2022,3857269,Brazil vs Switzerland,2022-11-28,group,Switzerland,Brazil,0,1,L,428,116,16,0.4833,0.16,22,24,101,5,0,0,0,0.0561,5.61,27.1,3.69,1,0,Round of 16,Manuel Obafemi Akanji,Sommer → Akanji
