match_id,team,num_players,num_edges,network_density,total_completed_passes,unique_passing_connections
3857254,Denmark,15,124,0.5904761904761905,544,124
3857254,Tunisia,16,97,0.4041666666666667,315,97
3857255,Spain,16,128,0.5333333333333333,993,128
3857255,Japan,15,89,0.4238095238095238,177,89
3857256,Switzerland,15,108,0.5142857142857142,346,108
3857256,Serbia,16,125,0.5208333333333334,407,125
3857257,Denmark,16,145,0.6041666666666666,590,145
3857257,Australia,15,92,0.4380952380952381,219,92
3857258,Brazil,16,125,0.5208333333333334,539,125
3857258,Serbia,16,135,0.5625,351,135
3857259,Serbia,16,136,0.5666666666666667,428,136
3857259,Cameroon,16,116,0.48333333333333334,276,116
3857260,Mexico,16,110,0.4583333333333333,367,110
3857260,Saudi Arabia,15,99,0.4714285714285714,194,99
3857261,Wales,16,114,0.475,274,114
3857261,England,16,138,0.575,553,138
3857262,South Korea,14,110,0.6043956043956044,309,110
3857262,Portugal,16,137,0.5708333333333333,534,137
3857263,Spain,15,126,0.6,578,126
3857263,Germany,16,107,0.44583333333333336,291,107
3857264,Poland,16,106,0.44166666666666665,267,106
3857264,Argentina,16,154,0.6416666666666667,826,154
3857265,Mexico,14,114,0.6263736263736264,437,114
3857265,Poland,14,98,0.5384615384615384,259,98
3857266,Denmark,15,115,0.5476190476190477,479,115
3857266,France,15,118,0.5619047619047619,464,118
3857267,Ecuador,15,101,0.48095238095238096,362,101
3857267,Senegal,13,98,0.6282051282051282,213,98
3857268,Canada,16,129,0.5375,401,129
3857268,Belgium,15,119,0.5666666666666667,451,119
3857269,Switzerland,16,116,0.48333333333333334,428,116
3857269,Brazil,16,135,0.5625,507,135
3857270,Uruguay,16,130,0.5416666666666666,324,130
3857270,Portugal,16,136,0.5666666666666667,525,136
3857271,Iran,17,95,0.3492647058823529,163,95
3857271,England,16,142,0.5916666666666667,746,142
3857272,England,14,113,0.6208791208791209,500,113
3857272,United States,15,106,0.5047619047619047,377,106
3857273,Wales,15,112,0.5333333333333333,438,112
3857273,Iran,16,101,0.42083333333333334,227,101
3857274,Ecuador,14,97,0.532967032967033,359,97
3857274,Netherlands,15,110,0.5238095238095238,457,110
3857275,Tunisia,14,87,0.47802197802197804,275,87
3857275,France,16,150,0.625,564,150
3857276,Morocco,16,100,0.4166666666666667,310,100
3857276,Canada,16,140,0.5833333333333334,480,140
3857277,Morocco,15,96,0.45714285714285713,301,96
3857277,Croatia,15,126,0.6,577,126
3857278,Iran,16,130,0.5416666666666666,402,130
3857278,United States,16,123,0.5125,426,123
3857279,France,15,127,0.6047619047619047,680,127
3857279,Australia,16,115,0.4791666666666667,394,115
3857280,Brazil,16,138,0.575,512,138
3857280,Cameroon,14,90,0.4945054945054945,254,90
3857281,Croatia,16,108,0.45,411,108
3857281,Canada,16,145,0.6041666666666666,437,145
3857282,United States,16,133,0.5541666666666667,520,133
3857282,Wales,15,111,0.5285714285714286,339,111
3857283,Belgium,16,124,0.5166666666666667,604,124
3857283,Morocco,16,107,0.44583333333333336,287,107
3857284,Germany,16,125,0.5208333333333334,723,125
3857284,Japan,16,93,0.3875,215,93
3857285,Netherlands,14,101,0.554945054945055,393,101
3857285,Senegal,15,112,0.5333333333333333,344,112
3857286,Qatar,13,93,0.5961538461538461,382,93
3857286,Ecuador,15,108,0.5142857142857142,432,108
3857287,South Korea,14,109,0.5989010989010989,351,109
3857287,Uruguay,15,115,0.5476190476190477,475,115
3857288,Australia,16,103,0.42916666666666664,274,103
3857288,Tunisia,15,128,0.6095238095238096,406,128
3857289,Mexico,15,99,0.4714285714285714,304,99
3857289,Argentina,16,125,0.5208333333333334,476,125
3857290,Switzerland,16,130,0.5416666666666666,461,130
3857290,Cameroon,15,121,0.5761904761904761,440,121
3857291,Spain,16,148,0.6166666666666667,1009,148
3857291,Costa Rica,16,106,0.44166666666666665,172,106
3857292,Germany,16,146,0.6083333333333333,669,146
