year,match_id,home_team,away_team,home_score,away_score,winner,dominant_team,pass_leader,home_composite_pct,away_composite_pct,home_passes,away_passes
2022,3857276,Canada,Morocco,1,2,Morocco,Canada,Canada,58.2,41.8,480,310
2022,3857271,England,Iran,6,2,England,Iran,England,42.5,57.5,746,163
2022,3857296,Croatia,Belgium,0,0,,Belgium,Belgium,49.9,50.1,514,543
2022,3857274,Netherlands,Ecuador,1,1,,Ecuador,Netherlands,40.7,59.3,457,359
2022,3857255,Japan,Spain,2,1,Japan,Japan,Spain,52.2,47.8,177,993
2022,3857272,England,United States,0,0,,United States,England,48.7,51.3,500,377
2022,3857278,Iran,United States,0,1,United States,United States,United States,46.1,53.9,402,426
2022,3857277,Morocco,Croatia,0,0,,Morocco,Croatia,60.7,39.3,301,577
2022,3857273,Wales,Iran,0,2,Iran,Iran,Wales,42.5,57.5,438,227
2022,3857275,Tunisia,France,1,0,Tunisia,France,France,49.3,50.7,275,564
2022,3857261,Wales,England,0,3,England,England,England,46.3,53.7,274,553
2022,3857290,Switzerland,Cameroon,1,0,Switzerland,Cameroon,Switzerland,49.9,50.1,461,440
2022,3857298,Portugal,Ghana,3,2,Portugal,Ghana,Portugal,48.1,51.9,576,336
2022,3857285,Senegal,Netherlands,0,2,Netherlands,Senegal,Netherlands,51.6,48.4,344,393
2022,3857282,United States,Wales,1,1,,Wales,United States,45.7,54.3,520,339
2022,3857297,Poland,Saudi Arabia,2,0,Poland,Poland,Saudi Arabia,54.1,45.9,259,489
2022,3857294,Netherlands,Qatar,2,0,Netherlands,Netherlands,Netherlands,56.6,43.4,747,396
2022,3857266,France,Denmark,2,1,France,France,Denmark,55.4,44.6,464,479
2022,3857284,Germany,Japan,1,2,Japan,Japan,Germany,48.5,51.5,723,215
2022,3857254,Denmark,Tunisia,0,0,,Denmark,Denmark,52.6,47.4,544,315
2022,3857265,Mexico,Poland,0,0,,Mexico,Mexico,50.8,49.2,437,259
2022,3857301,Qatar,Senegal,1,3,Senegal,Qatar,Senegal,50.4,49.6,362,462
2022,3857268,Belgium,Canada,1,0,Belgium,Canada,Belgium,37.9,62.1,451,401
2022,3857269,Brazil,Switzerland,1,0,Brazil,Brazil,Brazil,55.6,44.4,507,428
2022,3869321,Netherlands,Argentina,2,2,,Netherlands,Netherlands,51.6,48.4,572,531
2022,3857292,Costa Rica,Germany,2,4,Germany,Germany,Germany,38.6,61.4,284,669
2022,3857295,Japan,Costa Rica,0,1,Costa Rica,Japan,Japan,64.6,35.4,527,374
2022,3869685,Argentina,France,3,3,,Argentina,Argentina,55.3,44.7,560,434
2022,3869684,Croatia,Morocco,2,1,Croatia,Croatia,Croatia,51.4,48.6,439,431
2022,3857256,Serbia,Switzerland,2,3,Switzerland,Switzerland,Serbia,49.2,50.8,407,346
2022,3869151,Argentina,Australia,2,1,Argentina,Argentina,Argentina,53.1,46.9,646,384
2022,3857257,Australia,Denmark,1,0,Australia,Australia,Denmark,53.2,46.8,219,590
2022,3857258,Brazil,Serbia,2,0,Brazil,Brazil,Brazil,57.5,42.5,539,351
2022,3857288,Tunisia,Australia,0,1,Australia,Tunisia,Tunisia,50.9,49.1,406,274
2022,3857267,Ecuador,Senegal,1,2,Senegal,Senegal,Ecuador,39.2,60.8,362,213
2022,3857287,Uruguay,South Korea,0,0,,South Korea,Uruguay,48.9,51.1,475,351
2022,3869486,Morocco,Portugal,1,0,Morocco,Morocco,Portugal,51.8,48.2,184,616
2022,3857260,Saudi Arabia,Mexico,1,2,Mexico,Mexico,Mexico,49.3,50.7,194,367
2022,3857264,Poland,Argentina,0,2,Argentina,Argentina,Argentina,41.8,58.2,267,826
2022,3857289,Argentina,Mexico,2,0,Argentina,Mexico,Argentina,47.9,52.1,476,304
2022,3869254,Portugal,Switzerland,6,1,Portugal,Portugal,Switzerland,50.3,49.7,404,438
2022,3869118,England,Senegal,3,0,England,Senegal,England,48.0,52.0,536,323
2022,3869519,Argentina,Croatia,3,0,Argentina,Croatia,Croatia,47.5,52.5,358,559
2022,3869354,England,France,1,2,France,France,England,46.8,53.2,465,328
2022,3869552,France,Morocco,2,0,France,France,Morocco,56.7,43.3,316,529
2022,3869420,Croatia,Brazil,1,1,,Brazil,Brazil,46.5,53.5,639,652
2022,3869220,Morocco,Spain,0,0,,Morocco,Spain,53.3,46.7,250,960
2022,3869219,Japan,Croatia,1,1,,Japan,Croatia,52.0,48.0,436,657
2022,3869253,Brazil,South Korea,4,1,Brazil,Brazil,Brazil,51.0,49.0,566,476
2022,3869152,France,Poland,3,1,France,France,France,53.9,46.1,505,406
2022,3869117,Netherlands,United States,3,1,Netherlands,United States,United States,47.9,52.1,332,499
2022,3857270,Portugal,Uruguay,2,0,Portugal,Uruguay,Portugal,45.2,54.8,525,324
2022,3857263,Spain,Germany,1,1,,Germany,Spain,43.8,56.2,578,291
2022,3857259,Cameroon,Serbia,3,3,,Cameroon,Serbia,50.1,49.9,276,428
2022,3857283,Belgium,Morocco,0,2,Morocco,Morocco,Belgium,44.7,55.3,604,287
2022,3857286,Qatar,Ecuador,0,2,Ecuador,Qatar,Ecuador,57.5,42.5,382,432
2022,3857300,Argentina,Saudi Arabia,1,2,Saudi Arabia,Argentina,Argentina,63.8,36.2,542,197
2022,3857299,South Korea,Ghana,2,3,Ghana,South Korea,South Korea,63.3,36.7,499,266
2022,3857293,Ghana,Uruguay,0,2,Uruguay,Uruguay,Ghana,45.4,54.6,384,364
2022,3857291,Spain,Costa Rica,7,0,Spain,Spain,Spain,62.2,37.8,1009,172
2022,3857281,Croatia,Canada,4,1,Croatia,Croatia,Canada,52.2,47.8,411,437
2022,3857280,Cameroon,Brazil,1,0,Cameroon,Cameroon,Brazil,52.2,47.8,254,512
2022,3857279,France,Australia,4,1,France,France,France,63.6,36.4,680,394
2022,3857262,South Korea,Portugal,2,1,South Korea,South Korea,Portugal,52.4,47.6,309,534
2018,8650,Brazil,Belgium,1,2,Belgium,Brazil,Brazil,56.2,43.8,459,310
2018,7584,Belgium,Japan,3,2,Belgium,Belgium,Belgium,58.4,41.6,524,363
2018,7554,England,Panama,6,1,England,Panama,England,41.6,58.4,552,349
2018,7539,Poland,Senegal,1,2,Senegal,Senegal,Poland,46.4,53.6,482,286
2018,7550,Serbia,Switzerland,1,2,Switzerland,Serbia,Switzerland,58.8,41.2,263,467
2018,7538,Sweden,South Korea,1,0,Sweden,Sweden,Sweden,52.8,47.2,371,289
2018,7534,Germany,Mexico,0,1,Mexico,Germany,Germany,51.2,48.8,521,247
2018,7543,Iran,Spain,0,1,Spain,Iran,Spain,54.6,45.4,158,719
2018,7544,Uruguay,Saudi Arabia,1,0,Uruguay,Uruguay,Saudi Arabia,55.7,44.3,429,499
2018,7546,France,Peru,1,0,France,France,Peru,51.2,48.8,332,436
2018,7545,Argentina,Croatia,0,3,Croatia,Croatia,Argentina,46.1,53.9,413,274
2018,7585,Colombia,England,1,1,,England,England,46.8,53.2,429,477
2018,7569,Panama,Tunisia,1,2,Tunisia,Panama,Tunisia,53.3,46.7,202,547
2018,7572,Japan,Poland,0,1,Poland,Poland,Japan,46.0,54.0,491,400
2018,7561,Iceland,Croatia,1,2,Croatia,Iceland,Croatia,60.9,39.1,224,451
2018,7540,Russia,Egypt,3,1,Russia,Egypt,Egypt,42.4,57.6,321,360
2018,7531,Argentina,Iceland,1,1,,Iceland,Argentina,49.0,51.0,694,137
2018,7570,England,Belgium,0,1,Belgium,England,Belgium,50.1,49.9,432,487
2018,7586,Sweden,Switzerland,1,0,Sweden,Sweden,Switzerland,53.4,46.6,202,510
2018,7557,Iran,Portugal,1,1,,Iran,Portugal,57.7,42.3,154,534
2018,7542,Portugal,Morocco,1,0,Portugal,Morocco,Morocco,47.3,52.7,281,382
2018,8656,Croatia,England,2,1,Croatia,Croatia,Croatia,52.7,47.3,492,403
2018,7548,Brazil,Costa Rica,2,0,Brazil,Brazil,Brazil,58.9,41.1,661,205
2018,7578,Egypt,Uruguay,0,1,Uruguay,Uruguay,Uruguay,41.1,58.9,344,513
2018,7553,South Korea,Mexico,1,2,Mexico,South Korea,Mexico,55.4,44.6,279,422
2018,7536,Belgium,Panama,3,0,Belgium,Panama,Belgium,48.8,51.2,513,284
2018,7555,Poland,Colombia,0,3,Colombia,Poland,Colombia,53.4,46.6,340,427
2018,7576,Portugal,Spain,3,3,,Portugal,Spain,55.4,44.6,318,714
2018,7565,Serbia,Brazil,0,2,Brazil,Serbia,Brazil,55.1,44.9,337,553
2018,7551,Germany,Sweden,2,1,Germany,Sweden,Germany,47.7,52.3,619,164
2018,7537,Tunisia,England,1,2,England,England,England,37.0,63.0,285,484
2018,7580,France,Argentina,4,3,France,Argentina,Argentina,44.5,55.5,283,448
2018,7581,Croatia,Denmark,1,1,,Denmark,Croatia,49.5,50.5,517,445
2018,7549,Nigeria,Iceland,2,0,Nigeria,Iceland,Nigeria,47.7,52.3,413,224
2018,7529,Croatia,Nigeria,2,0,Croatia,Nigeria,Croatia,48.6,51.4,389,319
2018,7562,Australia,Peru,0,2,Peru,Australia,Australia,60.4,39.6,489,341
2018,7571,Senegal,Colombia,0,1,Colombia,Senegal,Colombia,59.6,40.4,234,358
2018,7568,Switzerland,Costa Rica,2,2,,Costa Rica,Switzerland,43.0,57.0,502,280
2018,7530,France,Australia,2,1,France,France,France,56.8,43.2,445,342
2018,7558,Uruguay,Russia,3,0,Uruguay,Uruguay,Uruguay,52.7,47.3,436,290
2018,7583,Brazil,Mexico,2,0,Brazil,Mexico,Mexico,49.4,50.6,330,353
2018,7547,Denmark,Australia,1,1,,Denmark,Australia,51.6,48.4,396,442
2018,7535,Costa Rica,Serbia,0,1,Serbia,Serbia,Costa Rica,47.6,52.4,376,335
2018,8649,Uruguay,France,0,2,France,Uruguay,France,60.4,39.6,217,445
2018,8658,France,Croatia,4,2,France,Croatia,Croatia,45.2,54.8,202,448
2018,7582,Spain,Russia,1,1,,Spain,Spain,51.5,48.5,1026,215
2018,7552,Belgium,Tunisia,5,2,Belgium,Tunisia,Belgium,48.7,51.3,392,374
2018,7532,Peru,Denmark,0,1,Denmark,Peru,Peru,53.2,46.8,347,302
2018,7560,Spain,Morocco,2,2,,Spain,Spain,52.5,47.5,675,187
2018,7533,Brazil,Switzerland,1,1,,Brazil,Brazil,52.2,47.8,473,363
2018,7564,Nigeria,Argentina,1,2,Argentina,Nigeria,Argentina,55.2,44.8,210,479
2018,7579,Uruguay,Portugal,2,1,Uruguay,Portugal,Portugal,48.8,51.2,190,486
