Rank,Year,Stage,Dominant Team (lost),Winner,GF,GA,Dom. Score,Pass Diff,Prog Diff,FT Diff,KP Diff
1,2022,group,Spain,Japan,1,2,0.725,816,134,72,5
2,2018,group,Germany,South Korea,0,2,0.69,447,127,31,19
3,2022,group,Germany,Japan,1,2,0.624,508,120,30,11
4,2022,group,Argentina,Saudi Arabia,1,2,0.575,345,78,22,10
5,2022,group,South Korea,Ghana,2,3,0.541,233,85,35,10
6,2022,group,Denmark,Australia,0,1,0.524,371,78,31,5
7,2018,R16,Portugal,Uruguay,1,2,0.513,296,81,15,12
8,2018,group,Germany,Mexico,0,1,0.513,274,84,46,8
9,2022,QF,Portugal,Morocco,0,1,0.505,432,96,54,3
10,2018,R16,Switzerland,Sweden,0,1,0.49,308,68,22,4
11,2018,group,Morocco,Iran,0,1,0.484,253,62,19,8
12,2018,Final,Croatia,France,2,4,0.481,246,72,31,8
13,2018,group,Mexico,Sweden,0,3,0.476,252,65,15,9
14,2022,group,France,Tunisia,0,1,0.441,289,50,12,5
15,2022,group,Brazil,Cameroon,0,1,0.435,258,61,2,10
16,2018,QF,Brazil,Belgium,1,2,0.419,149,34,9,17
17,2022,group,Belgium,Morocco,0,2,0.414,317,82,12,0
18,2018,R16,Argentina,France,3,4,0.408,165,43,20,3
19,2018,group,Australia,Peru,0,2,0.398,148,79,22,9
20,2022,SF,Croatia,Argentina,0,3,0.397,201,56,16,4
21,2022,group,Canada,Morocco,1,2,0.394,170,40,31,2
22,2018,3rd,England,Belgium,0,2,0.377,192,9,16,8
23,2022,group,Tunisia,Australia,0,1,0.377,132,27,1,5
24,2022,group,Japan,Costa Rica,0,1,0.373,153,52,37,6
25,2022,R16,United States,Netherlands,1,3,0.358,167,29,18,6
26,2018,SF,Belgium,France,0,1,0.356,248,60,22,-8
27,2018,group,Poland,Senegal,1,2,0.342,196,62,4,1
28,2022,group,Portugal,South Korea,1,2,0.341,225,42,28,1
29,2022,group,Wales,Iran,0,2,0.341,211,45,15,-5
30,2022,group,Saudi Arabia,Poland,0,2,0.327,230,56,11,4
31,2018,group,Egypt,Russia,1,3,0.322,39,23,16,6
32,2018,group,Argentina,Croatia,0,3,0.313,139,-10,12,0
33,2018,group,Morocco,Portugal,0,1,0.306,101,7,18,4
34,2018,group,Peru,Denmark,0,1,0.289,45,13,-5,9
35,2018,group,Peru,France,0,1,0.284,104,13,5,3
36,2022,group,Canada,Croatia,1,4,0.28,26,17,11,-5
37,2022,SF,Morocco,France,0,2,0.269,213,72,17,-5
38,2018,group,Costa Rica,Serbia,0,1,0.268,41,2,-4,-2
39,2018,R16,Mexico,Brazil,0,2,0.256,23,24,14,-5
40,2022,R16,Switzerland,Portugal,1,6,0.224,34,9,7,-1
41,2018,group,Japan,Poland,0,1,0.22,91,11,-9,2
42,2022,group,Serbia,Switzerland,2,3,0.215,61,6,5,1
43,2018,group,Saudi Arabia,Russia,0,5,0.213,186,14,6,-4
44,2022,group,Ecuador,Senegal,1,2,0.206,149,29,-1,-1
45,2022,group,Ghana,Uruguay,0,2,0.201,20,8,-2,-3
46,2022,QF,England,France,1,2,0.2,137,29,-7,5
47,2018,group,Saudi Arabia,Uruguay,0,1,0.197,70,-3,-3,-3
48,2022,group,Denmark,France,1,2,0.146,15,-2,9,-11
